Degree,Strength,Clustering Coefficient,Betweenness Centrality,Eigenvector Centrality,PageRank,Average Path Length,Maximum Path Length
2,3114.0,1.00000000,0.00000000,0.00386722,0.00006130,3.78745163,12
6,2063.5,0.73333333,0.00025659,0.00184303,0.00014375,3.98092869,11
3,57.0,0.66666667,0.00000034,0.00010874,0.00006121,4.58319514,12
8,3179.0,0.28571429,0.00236187,0.00036705,0.00033141,4.33388612,11
6,10044.0,0.80000000,0.00000115,0.00830724,0.00010985,3.72360420,12
2,220.0,1.00000000,0.00000000,0.00000318,0.00007103,5.60558320,12
2,908.0,0.00000000,0.00000005,0.00001658,0.00007269,5.15063571,11
2,336.0,1.00000000,0.00000000,0.00015546,0.00004886,4.47097844,11
2,512.0,1.00000000,0.00000000,0.00020356,0.00005313,4.45909342,11
1,80.0,0.00000000,0.00000000,0.00001698,0.00004765,5.44333886,13
1,38.0,0.00000000,0.00000000,0.00000103,0.00006600,5.63045882,12
47,160174.5,0.68732655,0.00006364,0.05475016,0.00108960,3.36981758,11
2,68.0,0.00000000,0.00055294,0.00000096,0.00021316,5.90823659,14
9,7644.0,0.41666667,0.00021338,0.00283274,0.00024811,3.94665561,11
58,168691.0,0.12038717,0.03890771,0.01052428,0.00528178,3.33720287,9
5,2192.0,1.00000000,0.00000000,0.00051030,0.00008682,4.18435600,10
